,Unnamed: 0,causalrep_train_accs,causalrep_test_accs,naive_train_accs,naive_test_accs,naive_vae_train_accs,naive_vae_test_accs,hidden_dim,l2_reg,lr,n_restarts,mode,steps,z_dim,batch_size,num_features,input_dim,vae_epochs,spurious_corr,alter_freq,randseed,target_label,spurious_label,setting,train_spurious_corr:,test_spurious_corr:
0,0,0.5897009966777409,0.5577740016992353,0.5544019937515259,0.5305862426757812,0.5168189406394958,0.4793967604637146,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,53559534,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7970980789754234,-0.7910369194383793
0,0,0.5592738407699037,0.7383763837638376,0.5509623885154724,0.5523985028266907,0.5446194410324097,0.8999999761581421,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,77582322,Goatee,Male,Goatee_Male,0.8890943473527643,0.0574949877409043
0,0,0.5838567108629914,0.51646408839779,0.5024424195289612,0.5230939388275146,0.5626890063285828,0.5387845039367676,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,44576628,Mustache,Black_Hair,Mustache_Black_Hair,0.7659431594384112,-0.7608794093887689
0,0,0.5340980187695517,0.5273578880136257,0.4348279535770416,0.4622099101543426,0.512617290019989,0.4967000186443329,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,20612796,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7846248963122691,-0.7866926456866552
0,0,0.5683107813182017,0.7116091109478325,0.5458315014839172,0.5771491527557373,0.5451768040657043,0.9004408717155457,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,92011392,Goatee,Male,Goatee_Male,0.8928623272381346,0.0563471582872507
0,0,0.5706039991754277,0.5225563909774437,0.5064935088157654,0.4843358397483825,0.5075241923332214,0.4937343299388885,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,57224910,Arched_Eyebrows,Wearing_Earrings,Arched_Eyebrows_Wearing_Earrings,0.7864078420173822,-0.7836085283329605
0,0,0.5795148247978437,0.7464429040496169,0.5498652458190918,0.5789858102798462,0.5545822381973267,0.9139000773429872,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,34672760,Mustache,Male,Mustache_Male,0.8846658282094624,0.0832078512692328
0,0,0.5726206585475868,0.7834371564675705,0.5216508507728577,0.4558446407318115,0.5554803609848022,0.9175522327423096,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,7306532,Mustache,Male,Mustache_Male,0.8914367729785374,0.0917031344271881
0,0,0.5875085792724777,0.5343191348488192,0.5545641779899597,0.4959170222282409,0.5730953812599182,0.5363054275512695,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,28550482,Mustache,Black_Hair,Mustache_Black_Hair,0.7714626756305671,-0.7829892776278682
0,0,0.601427584618927,0.5170264856443356,0.5500805974006653,0.508791446685791,0.5678102374076843,0.5448475480079651,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,84662214,Mustache,Black_Hair,Mustache_Black_Hair,0.7619276137678139,-0.782939479229169
0,0,0.5514827018121911,0.5622819618304946,0.6604201197624207,0.6542171239852905,0.5098846554756165,0.505027711391449,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,68116610,Black_Hair,Mouth_Slightly_Open,Black_Hair_Mouth_Slightly_Open,0.7952030959581186,-0.7828584869915853
0,0,0.5853545853545854,0.5687486206135511,0.4890275001525879,0.4974619150161743,0.5710325837135315,0.5446920990943909,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,38398314,Mustache,Black_Hair,Mustache_Black_Hair,0.7607474906458342,-0.7844390313677136
0,0,0.5849944008958566,0.717478930010993,0.5590145587921143,0.5698058009147644,0.5525196194648743,0.9127885699272156,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,54385044,Mustache,Male,Mustache_Male,0.9022896720096382,0.0916765064159646
0,0,0.584089323098395,0.5239982386613826,0.452430784702301,0.5096873641014099,0.565945565700531,0.5336856245994568,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,30951662,Mustache,Black_Hair,Mustache_Black_Hair,0.7536483857376299,-0.7689822470009872
0,0,0.5458281956432388,0.5552820512820513,0.5618577599525452,0.5440000295639038,0.5026715993881226,0.4992820620536804,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,32082060,Black_Hair,Mouth_Slightly_Open,Black_Hair_Mouth_Slightly_Open,0.8010872724318597,-0.8006260851986993
