,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
0,0,entangled,0.1106379558953117,0.8364144686361081,0.6362302336049873,3.1529350426419103,0.5594298579283232,dsprites,True,True,False,True,False
1,1,disentangled,0.888059441075248,0.7129300430254913,1.0,3.247331465682368,0.4321135953862772,dsprites,True,True,False,True,False
0,0,entangled,0.0662380648924445,0.7171476867169108,0.5058462281451994,1.0562361863197616,0.1915084243894974,smallnorb,True,True,False,False,False
1,1,disentangled,0.903381586162505,0.6065596262175725,1.0,2.439143785820132,0.2730489130785093,smallnorb,True,True,False,False,False
0,0,entangled,0.0604851274346279,0.7890688628736461,0.5918056490276168,2.3306671304351285,0.3711047109266052,dsprites,True,True,False,False,False
1,1,disentangled,0.8868455579867489,0.6945198532276992,1.0,3.2297484412111164,0.4242005362941586,dsprites,True,True,False,False,False
0,0,entangled,0.2913235954763685,0.785813821218863,0.5621280903168856,2.255113694794964,0.3339323904144833,dsprites,True,True,False,False,False
1,1,disentangled,0.8879914859897784,0.7097924401142082,1.0,3.2304533889389964,0.4268635830035023,dsprites,True,True,False,False,False
0,0,entangled,0.313079551151072,0.8519570368303205,0.5878174924395727,2.2146533722403827,0.3697401587431515,dsprites,True,True,False,False,False
1,1,disentangled,0.8890104542124923,0.738070095289869,1.0,3.2683458773840712,0.4340152751485786,dsprites,True,True,False,False,False
0,0,entangled,0.1431573970812399,1.065013563518448,0.5429841175280654,6.893691467745692,0.5771681067080191,mpi3d,True,True,True,True,False
1,1,disentangled,0.8446165669451208,0.8719039117365127,1.0,4.41155093134898,0.3101571662684958,mpi3d,True,True,True,True,False
0,0,entangled,0.292342555591246,0.9976185417801064,0.5381028451590052,5.711605420255587,0.5209904645819157,mpi3d,True,True,True,True,False
1,1,disentangled,0.8284674389580776,0.9004738584463469,1.0,4.099944548615158,0.2900634102877042,mpi3d,True,True,True,True,False
0,0,entangled,0.0714281779669408,1.0264359696423473,0.4806407171418698,4.968924272733947,0.5170204571916804,mpi3d,True,True,True,True,False
1,1,disentangled,0.8302978041981282,0.867125176693065,1.0,4.154051840397999,0.3012230901183345,mpi3d,True,True,True,True,False
0,0,entangled,0.1447278023474033,1.058484213861283,0.5716917653527216,5.209970503374514,0.5874031446690434,mpi3d,True,True,True,True,False
1,1,disentangled,0.8412901153866269,0.8979037717583768,1.0,4.3924832638043085,0.3073553306161147,mpi3d,True,True,True,True,False
0,0,entangled,0.0869536300744207,0.7459614294148015,0.5052881192353251,0.9238787416925548,0.1855203838634387,dsprites,True,True,False,False,False
1,1,disentangled,0.8875163037659489,0.7108768805607508,1.0,3.2222436430373014,0.4298657337927328,dsprites,True,True,False,False,False
0,0,entangled,0.116140213005157,0.6600691831884078,0.5354060638095957,1.1503841734759224,0.1684281774535826,smallnorb,True,True,False,False,False
1,1,disentangled,0.902751405874753,0.5595267016018566,1.0,2.433185604405572,0.2780780426068786,smallnorb,True,True,False,False,False
0,0,entangled,0.02116414862405,1.055008198592538,0.4706561950919937,7.000785373260628,0.6681791422461022,mpi3d,True,True,True,True,False
1,1,disentangled,0.8355632365743987,0.905533231217728,1.0,4.213803578326294,0.2837872637864999,mpi3d,True,True,True,True,False
0,0,entangled,0.1213233009685127,1.0577878696397307,0.5260112606224341,6.303604824977144,0.6738096733049198,mpi3d,True,True,True,True,False
1,1,disentangled,0.8372746280040804,0.8566143669903891,1.0,4.270506144939534,0.2961380762208983,mpi3d,True,True,True,True,False
0,0,entangled,0.1352111826320134,0.845824689148227,0.5794662701921096,2.172345971910556,0.27447794893179,dsprites,True,True,False,False,False
1,1,disentangled,0.888659580395003,0.7247764593047535,1.0,3.2516827569753595,0.4294551641418328,dsprites,True,True,False,False,False
0,0,entangled,0.1547053741428037,0.6290467299641854,0.4978421475606754,0.7062621791488537,0.0959468338334788,smallnorb,True,True,False,False,False
1,1,disentangled,0.8939615361261608,0.5812684577080525,1.0,2.3136456978037767,0.2670754715899236,smallnorb,True,True,False,False,False
0,0,entangled,0.1282765294761671,0.6352023257206697,0.738081088907049,0.8511969773105341,0.1601875869458437,cars3d,True,True,False,True,False
1,1,disentangled,0.9161984319108972,0.477299546010179,1.0,1.5760192603447063,0.0184659822697154,cars3d,True,True,False,True,False
0,0,entangled,0.1123759373683095,1.012583528844857,0.5232616466810199,4.903303664980402,0.4933380888725755,mpi3d,True,True,True,True,False
1,1,disentangled,0.844156373640332,0.9673395351130012,1.0,4.413743710623648,0.311135288104005,mpi3d,True,True,True,True,False
0,0,entangled,0.0666882637565304,0.7597300677039194,0.5016635318553673,1.5011419497009326,0.2856560634363112,dsprites,True,True,False,False,False
1,1,disentangled,0.8908091593986747,0.7440955052809098,1.0,3.302108437250964,0.4438004341952443,dsprites,True,True,False,False,False
0,0,entangled,0.1191063977524781,0.6891841754767767,0.7688808837870327,2.4812798916757326,0.5422829891296084,cars3d,True,True,True,True,False
1,1,disentangled,0.9067190510438063,0.4677705552057813,1.0,1.478372587150978,0.0174458865551773,cars3d,True,True,True,True,False
0,0,entangled,0.2380265060300944,0.581909961635159,0.7183004161849014,0.5338637491158771,0.1016137320668669,cars3d,True,True,False,True,False
1,1,disentangled,0.9136708074174312,0.4684036009919546,1.0,1.5478234405842253,0.0176633243201493,cars3d,True,True,False,True,False
0,0,entangled,0.0265384824548139,0.9971848221513318,0.5425403729792264,4.576696695378219,0.488053026853196,mpi3d,True,True,True,True,False
1,1,disentangled,0.8438926038677844,0.8656328971360977,1.0,4.417420754852378,0.3051943546209958,mpi3d,True,True,True,True,False
0,0,entangled,0.6151228596552732,0.5913728774076566,0.7478318395314382,0.5546505918670865,0.1883587756864726,cars3d,True,True,False,True,False
1,1,disentangled,0.904927332344045,0.4641271093883143,1.0,1.4609105211702405,0.0178444035886541,cars3d,True,True,False,True,False
0,0,entangled,0.0545031418877603,0.8186327287567486,0.5783995695755708,2.629377361258288,0.5026593918452755,dsprites,True,True,False,True,False
1,1,disentangled,0.8890435323617681,0.6898304546484112,1.0,3.261651945329124,0.4320118692900289,dsprites,True,True,False,True,False
