,Unnamed: 0,causalrep_train_accs,causalrep_test_accs,naive_train_accs,naive_test_accs,naive_vae_train_accs,naive_vae_test_accs,hidden_dim,l2_reg,lr,n_restarts,mode,steps,z_dim,batch_size,num_features,input_dim,vae_epochs,spurious_corr,alter_freq,randseed
0,0,0.6965779467680608,0.6946454413892909,0.8864068388938904,0.1186686009168624,0.5258554816246033,0.4910757541656494,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,12042934
0,0,0.692680608365019,0.6888567293777135,0.8856463432312012,0.1591895818710327,0.8943915963172913,0.1172214224934578,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,46607290
0,0,0.7057984790874525,0.7317896767969126,0.7114068269729614,0.8519054651260376,0.5233840346336365,0.5243608355522156,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,18933976
0,0,0.7171102661596959,0.6695610226724554,0.90095055103302,0.1017848551273346,0.515779435634613,0.5055475234985352,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,24187312
0,0,0.6737642585551331,0.7047756874095513,0.9031368494033812,0.0984081029891967,0.8878327012062073,0.1760733276605606,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,98779706
0,0,0.5244296577946768,0.4930053063193439,0.9017109870910645,0.0984081029891967,0.8989543318748474,0.1070911735296249,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,99988764
0,0,0.6925855513307985,0.693680656054028,0.8668251037597656,0.2064640671014785,0.5142585635185242,0.5079594850540161,256,1.0,0.1,1,linear,1001,16,100,20,392,101,0.9,100,5454196
0,0,0.7051330798479087,0.7351664254703328,0.7033270001411438,0.8779546618461609,0.5178707242012024,0.4915581345558166,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,74296104
0,0,0.6746197718631178,0.6739025566811384,0.8918250799179077,0.9117221236228944,0.5247148275375366,0.5036179423332214,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,73274844
0,0,0.6811787072243346,0.7390255668113844,0.7062737345695496,0.7187650799751282,0.5111216902732849,0.5113362073898315,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,52020982
0,0,0.7339353612167301,0.61794500723589,0.9018060564994812,0.0921370014548301,0.5208174586296082,0.5079594850540161,256,1.0,0.1,1,linear,1001,16,100,20,392,101,0.9,100,70409188
